,attr_1,attr_2,attr_3,age,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday,domain_@163.com,domain_@gmail.com,domain_@hotmail.com,domain_@icloud.com,domain_@live.com,domain_@outlook.com,domain_@qq.com,domain_@rocketmail.com,domain_@yahoo.com,domain_@ymail.com,domain_other,country_code_1,country_code_2,country_code_3,country_code_4,country_code_5,country_code_6,country_code_7
attr_1,1.0,-0.0013357351270568097,0.022670008265989722,0.003627304251896887,-0.004392305268212797,0.0067215876858300605,-0.03154268348491279,-0.07123887204169939,-0.016515747460579672,-0.012886019528280244,-0.023184385870631513,0.016490109299311145,0.017783646166757074,0.01801141655027831,0.007887590702419775,0.008817595485568647,0.009422958048393508,0.004163002434310452,0.0004947541125261385,0.014977428326065542,0.005443318050142165,0.0022322438766422,0.0013014827199179365,0.00126307211408914,0.0005992450423987569,0.0007228340189602912,-0.027140121455355895,-0.01147967841580097,0.0031091896512363123,-0.005190028886221646,-0.002758602168099841,0.00017804291689441735,1.8544448643782708e-06,0.007098567176115987,0.004262339067265659,0.0039984841913684385
attr_2,-0.0013357351270568097,1.0,-0.014668373326184828,-0.03178312704047715,0.05150433454405822,-0.13209771511856075,-0.007504022081703715,-0.010076271247263157,0.039300444648326466,0.04244335191225673,0.042527844749945636,0.017456251940154852,0.014321424001978838,0.014377790835607439,0.013482102618609638,0.010401542937780768,0.0108324411697977,0.04136061028016392,0.001314003750139331,0.05040711210144617,-0.09877915950525552,0.00592855471205908,0.003456571924145106,0.0033545582595208867,0.0015915183179444532,0.001919754859220707,0.00826941377189764,0.003388899588933289,0.0022319266432409136,0.03831694698780935,0.028516184923485,0.017553283983587256,-0.1310927613839996,0.01790324322250489,0.009830774174394064,0.004295062765757482
attr_3,0.022670008265989722,-0.014668373326184828,1.0,-0.034674791815737654,-0.009703314926689419,0.02042005135678974,-0.022089198126807222,-0.006696255748910791,-0.04568971782447916,-0.04462375481826991,-0.04187203593185959,0.04472993639380892,0.04830829823911495,0.05138384043509949,-0.00924276144428774,-0.012407275586206103,-0.011060926673949938,-0.007266289728491919,0.03860990035251362,-0.003249580749378571,0.0031129172560254914,-0.011881031378530964,-0.011193557674907272,-0.001614521552405986,0.04313847270713978,0.005158681779441449,-0.004642568882975899,-0.0004120132425145385,0.010831402251177636,-0.03755559867828398,-0.018135199938119028,0.017095982956737133,0.018657777752270545,0.030658789565349658,-0.0012551534508601623,0.023126955985604963
age,0.003627304251896887,-0.03178312704047715,-0.034674791815737654,1.0,-0.0557981537228515,-0.06937647072892303,0.002533892344829178,-0.009196310648936515,0.07441896315202673,0.0919004178924284,0.0925841279891964,0.04579403356614862,0.05162067941580686,0.05287892052392269,0.03519042563106399,0.03564042017712148,0.0377289788767533,-0.010289935374904973,0.01939129380645076,-0.1724643034316215,0.14672314545847143,-0.008490851384264806,0.02900708866555204,0.040824272588775405,0.02860555840263306,0.006494553649088409,0.07992812965198538,0.0014530459164537948,0.04139445637975188,-0.12675727520660485,0.035344710001157395,-0.1300546170022852,0.2289747575965304,0.034963643119138035,0.029510780605764744,0.009947207365786777
subject_line_length,-0.004392305268212797,0.05150433454405822,-0.009703314926689419,-0.0557981537228515,1.0,0.03889517430116768,0.014671452651258363,0.038729702247988024,-0.009788086246976907,-0.02312352515188897,-0.02940125195927698,-0.0007124558010321829,-0.0038608946798196265,-0.006824749667040465,0.014560154801473857,0.017894234689595105,0.020800535149317866,-0.046486120425519854,-0.011034324916338899,0.07263395731209314,-0.06400296568640404,-0.01659601385858981,-0.015677125358631076,-0.006421998863825955,-0.008128494613454789,0.0014514821199441098,-0.022086976529763134,0.009786774263339735,-0.029801064437416747,0.2906759093956133,-0.040560107478868644,0.0031280243759536043,-0.09987490791630861,-0.4010475284248979,-0.031137970899539052,0.18524930385827929
last_open_day,0.0067215876858300605,-0.13209771511856075,0.02042005135678974,-0.06937647072892303,0.03889517430116768,1.0,0.014009160209172604,0.09108830044659891,-0.22930918105001002,-0.2542114401329449,-0.25465465672293097,-0.04935284979172603,-0.06154250664591048,-0.08187615154417584,-0.023456774029824823,-0.0223987621387342,-0.030380045004738624,-0.03880787529399282,-0.0019942478529214034,0.011991019680451407,-0.014371984696192408,0.006087599015423606,-0.01407257158160932,-0.005614602739622155,-0.0032700274673741403,-0.008027840921067784,0.010700213704070724,-0.0031156453527560134,-0.02119818056095002,-0.01757565617741188,-0.08242202627766683,0.14756450733422094,-0.021138683209146615,-0.013078857529451865,-0.03840930351412081,0.02906404173077529
last_login_day,-0.03154268348491279,-0.007504022081703715,-0.022089198126807222,0.002533892344829178,0.014671452651258363,0.014009160209172604,1.0,0.20849712057788988,-0.020571423761240822,-0.013611545421847247,-0.012378406613648881,-0.15257539270486392,-0.15969715683752608,-0.16045160842875447,-0.07465111232511308,-0.08072912673457064,-0.08496600786347254,0.005618982385334226,-0.0036486195712831376,0.003901920318324337,-0.0036941203314196707,0.004904099798884458,0.008383634664218024,-0.00117752404203905,-0.004523881719442711,0.010509698752947903,-0.006042240589057685,0.0010277978730581434,-0.0010572984952551055,-0.034588700647025836,0.023880492763478468,0.034110958990993714,-0.019310031251104292,-0.02396405872141563,0.009870155337257502,0.03259249061696766
last_checkout_day,-0.07123887204169939,-0.010076271247263157,-0.006696255748910791,-0.009196310648936515,0.038729702247988024,0.09108830044659891,0.20849712057788988,1.0,-0.026373137475981752,-0.02958953644132472,-0.041945771135380235,-0.20173958348285176,-0.21801189416217392,-0.22877509020025247,-0.12702956940505833,-0.13996658505891105,-0.1482656985965421,0.014492396834577254,0.04967708597774829,0.025859940062630912,-0.026416824904140157,0.008686006411428578,-0.00028366925122932793,0.012364293284028445,0.06614435280180431,0.006531067044660723,-0.031206053983118813,0.000993606830977603,-0.0014228534955002393,0.02523959774461603,0.02774828915228768,0.02232272787891183,-0.04474153063214183,-0.09100124483163813,0.023214431377642706,0.031344903208382825
open_count_last_10_days,-0.016515747460579672,0.039300444648326466,-0.04568971782447916,0.07441896315202673,-0.009788086246976907,-0.22930918105001002,-0.020571423761240822,-0.026373137475981752,1.0,0.9026778778163334,0.8303760833652749,0.04280473333736475,0.03857937555082097,0.036735903942364465,0.03286206153203346,0.021236790846658846,0.014418485933676659,0.05673807949516123,0.009895984326451314,-0.07145706046200202,0.04455230726933998,0.05718023066443367,0.027596720695434365,0.0209418190530738,0.0031279080432036386,0.012271871701080964,0.007974843478935418,-0.006823933863353359,0.04249671938907889,-0.1463440899219992,0.12180935030970179,0.09005613215105868,-0.019790063235403808,-0.05718292399936518,0.0890918570436723,-0.03851887328404421
open_count_last_30_days,-0.012886019528280244,0.04244335191225673,-0.04462375481826991,0.0919004178924284,-0.02312352515188897,-0.2542114401329449,-0.013611545421847247,-0.02958953644132472,0.9026778778163334,1.0,0.9491368539706848,0.028548187008096793,0.031990033814221275,0.03395900202719944,0.02880412564348959,0.022244955273954443,0.017198991721211795,0.04982395842029526,0.009418409636511665,-0.07673526772012391,0.0521203259823062,0.05891376852681008,0.03214653711572187,0.02588056345558582,0.003909057234108748,0.014998680694107406,0.008467497645859936,-0.014924918539834806,0.04077339284079771,-0.17266896900524362,0.16781655650586721,0.0884730124687865,-0.020547686747957615,-0.07925581377446664,0.09295269268640585,-0.03682963681918613
